,geoUID,r_external_5yr,r_inter_5yr,r_internal_5yr,r_intra_5yr,r_migrants_5yr,r_movers_5yr,r_nonMigrants_5yr,r_nonMovers_5yr
1.000,1001.000,0.123,0.330,0.877,0.670,0.492,0.326,1.429,0.674
2.000,10010165.000,0.429,0.000,0.429,1.333,0.269,0.250,3.167,0.750
3.000,10010166.000,0.000,0.500,1.000,0.000,0.333,0.240,1.600,0.760
4.000,10010167.000,0.000,0.000,1.000,1.000,0.375,0.358,2.500,0.642
5.000,10010168.000,0.167,0.545,0.917,0.455,0.308,0.361,1.800,0.630
6.000,10010169.000,0.000,0.333,0.750,0.667,0.444,0.321,1.667,0.679
7.000,10010170.000,0.000,0.588,1.000,0.471,0.567,0.349,1.200,0.640
8.000,10010171.000,0.250,0.429,0.875,0.429,0.364,0.247,2.800,0.753
9.000,10010172.000,0.000,0.000,0.000,0.000,0.000,0.500,5.000,0.500
10.000,10010173.000,0.062,0.355,0.969,0.645,0.400,0.455,1.333,0.551
11.000,10010174.000,0.211,0.875,0.842,0.125,0.422,0.251,1.471,0.754
12.000,10010175.000,0.143,0.167,0.857,0.833,0.304,0.365,1.600,0.630
13.000,10010176.000,0.222,1.000,0.667,0.333,0.346,0.317,2.571,0.683
14.000,10010180.000,0.231,0.500,0.769,0.500,0.500,0.260,0.684,0.730
15.000,10010181.000,0.000,0.500,1.000,0.625,0.400,0.267,3.000,0.733
16.000,10010182.000,0.000,0.750,1.333,0.000,0.143,0.318,4.250,0.682
17.000,10010187.000,0.000,0.400,1.250,0.600,0.133,0.217,2.273,0.775
18.000,10010191.000,0.000,0.250,0.889,0.750,0.187,0.400,2.437,0.600
19.000,10010192.000,0.000,0.000,0.000,0.000,0.000,0.152,2.500,0.833
20.000,10010193.000,0.000,0.667,1.000,0.667,0.167,0.222,1.875,0.790
21.000,10010194.000,0.000,0.333,1.200,0.667,0.294,0.354,1.375,0.646
22.000,10010195.000,0.087,0.667,0.913,0.286,0.426,0.466,1.409,0.526
23.000,10010196.000,0.556,0.667,0.333,0.667,0.375,0.250,2.333,0.760
24.000,10010198.000,0.000,0.500,0.857,0.500,0.412,0.233,2.000,0.753
25.000,10010199.000,0.818,1.000,0.182,1.000,0.733,0.349,0.714,0.628
26.000,10010200.000,0.400,0.667,0.600,0.667,0.417,0.182,3.500,0.818
27.000,10010201.000,0.000,0.625,1.143,0.375,0.250,0.315,1.909,0.685
28.000,10010202.000,0.500,0.500,0.500,0.500,0.333,0.255,1.071,0.755
29.000,10010203.000,0.000,1.000,1.000,0.000,0.250,0.127,1.750,0.841
30.000,10010204.000,0.111,0.375,0.889,0.625,0.360,0.459,1.455,0.532
31.000,10010206.000,0.154,0.273,0.846,0.682,0.351,0.510,1.621,0.490
32.000,10010207.000,0.069,0.222,0.931,0.778,0.309,0.372,1.275,0.632
33.000,10010208.000,0.055,0.358,0.964,0.642,0.399,0.478,1.339,0.522
34.000,10010209.000,0.167,0.500,0.833,0.500,0.429,0.283,2.000,0.717
35.000,10010210.000,0.000,0.286,1.000,0.857,0.333,0.239,2.143,0.750
36.000,10010211.000,0.000,0.692,1.000,0.231,0.228,0.396,1.630,0.597
37.000,10010212.000,0.222,0.643,0.778,0.429,0.429,0.452,2.300,0.538
38.000,10010213.000,0.273,0.500,0.727,0.500,0.275,0.308,1.611,0.685
39.000,10010214.000,0.586,0.500,0.414,0.583,0.630,0.648,0.895,0.366
40.000,10010215.000,0.000,0.286,1.167,0.571,0.231,0.371,1.727,0.614
41.000,10010216.000,0.375,0.400,0.625,0.600,0.308,0.473,1.889,0.527
42.000,10010217.000,0.000,0.750,1.000,0.250,0.471,0.333,1.125,0.667
43.000,10010218.000,0.400,0.800,0.500,0.400,0.312,0.471,2.333,0.544
44.000,10010219.000,0.000,0.600,1.000,0.400,0.125,0.328,1.667,0.680
45.000,10010220.000,0.000,0.000,0.750,0.667,0.222,0.281,3.000,0.719
46.000,10010221.000,0.250,1.000,0.750,0.333,0.258,0.307,2.556,0.693
47.000,10010222.000,0.077,0.625,0.923,0.333,0.531,0.454,0.815,0.546
48.000,10010223.000,0.437,0.222,0.562,0.778,0.308,0.491,2.056,0.519
49.000,10010224.000,0.000,0.273,1.000,0.636,0.306,0.387,1.333,0.613
50.000,10010225.000,0.000,0.667,1.000,0.667,0.231,0.289,2.000,0.689
51.000,10010226.000,0.000,0.429,0.875,0.571,0.211,0.388,3.200,0.602
52.000,10010227.000,0.000,0.700,1.000,0.200,0.286,0.449,1.000,0.551
53.000,10010228.000,0.000,0.714,1.000,0.286,0.200,0.402,2.455,0.598
54.000,10010229.000,0.321,0.722,0.643,0.278,0.609,0.535,0.950,0.453
55.000,10010230.000,0.353,0.727,0.647,0.273,0.309,0.539,1.480,0.461
56.000,10010231.000,0.450,0.833,0.600,0.000,0.339,0.573,1.345,0.427
57.000,10010232.000,0.577,0.700,0.385,0.400,0.565,0.523,0.690,0.466
58.000,10010233.000,0.824,0.750,0.235,0.000,0.515,0.440,1.000,0.560
59.000,10010234.000,0.481,0.533,0.556,0.400,0.540,0.532,0.917,0.468
60.000,10010235.000,0.154,0.455,0.846,0.545,0.500,0.456,1.444,0.561
61.000,10010236.000,0.478,0.727,0.478,0.364,0.489,0.505,1.091,0.484
62.000,10010237.000,0.706,0.500,0.294,0.500,0.576,0.670,0.641,0.330
63.000,10010238.000,0.571,0.182,0.524,0.727,0.583,0.434,1.167,0.566
64.000,10010239.000,0.467,0.562,0.533,0.437,0.545,0.524,1.091,0.476
65.000,10010240.000,0.638,0.524,0.362,0.524,0.637,0.655,0.791,0.338
66.000,10010241.000,0.519,0.154,0.481,0.923,0.500,0.593,1.000,0.407
67.000,10010242.000,0.200,0.588,0.850,0.412,0.290,0.543,1.581,0.457
68.000,10010243.000,0.154,0.341,0.846,0.659,0.531,0.645,1.154,0.368
69.000,10010244.000,0.393,0.167,0.643,0.778,0.400,0.538,1.200,0.469
70.000,10010245.000,0.154,0.455,0.846,0.591,0.510,0.580,1.368,0.432
71.000,10010246.000,0.333,0.200,0.667,0.800,0.517,0.345,0.824,0.655
72.000,10010247.000,0.200,0.167,0.800,0.833,0.682,0.361,0.700,0.639
73.000,10010248.000,0.250,0.333,0.750,0.556,0.375,0.593,1.667,0.389
74.000,10010249.000,0.447,0.333,0.553,0.619,0.679,0.560,1.118,0.430
75.000,10010250.000,0.462,0.667,0.538,0.381,0.619,0.583,0.658,0.417
76.000,10010251.000,0.538,0.636,0.423,0.455,0.634,0.461,0.667,0.539
77.000,10010252.000,0.611,0.571,0.389,0.429,0.500,0.391,1.200,0.598
78.000,10010253.000,0.529,0.500,0.588,0.500,0.515,0.429,0.667,0.558
79.000,10010254.000,0.294,0.462,0.765,0.462,0.472,0.324,1.133,0.685
80.000,10010255.000,0.615,0.400,0.385,0.600,0.317,0.427,1.333,0.573
81.000,10010256.000,0.286,0.500,0.571,0.750,0.280,0.352,1.538,0.648
82.000,10010257.000,0.000,0.533,1.000,0.333,0.469,0.364,1.417,0.625
83.000,10010258.000,0.105,0.437,0.842,0.687,0.452,0.404,1.437,0.596
84.000,10010259.000,0.167,0.400,0.833,0.600,0.364,0.330,1.615,0.680
85.000,10010260.000,0.143,0.769,0.929,0.154,0.424,0.351,1.250,0.638
86.000,10010261.000,0.429,0.500,0.571,0.500,0.467,0.278,1.308,0.722
87.000,10010262.000,0.611,0.600,0.417,0.400,0.621,0.611,0.595,0.389
88.000,10010263.000,0.187,0.231,0.812,0.769,0.471,0.304,1.214,0.696
89.000,10010264.000,0.211,0.214,0.737,0.857,0.452,0.404,1.278,0.596
90.000,10010265.000,0.250,0.167,0.750,0.833,0.615,0.257,3.333,0.733
91.000,10010266.000,0.133,0.500,0.933,0.571,0.341,0.344,1.933,0.648
92.000,10010267.000,0.000,0.333,1.000,0.667,0.429,0.110,1.750,0.890
93.000,10010268.000,0.000,0.000,1.000,1.000,0.250,0.154,2.000,0.827
94.000,10010269.000,0.167,0.300,0.833,0.700,0.245,0.261,2.111,0.734
95.000,10010270.000,0.263,0.571,0.737,0.429,0.463,0.241,1.750,0.759
96.000,10010271.000,0.667,0.000,0.000,100000.000,0.429,0.076,1.250,0.924
97.000,10010272.000,0.000,1.000,0.600,0.000,0.208,0.195,2.857,0.797
98.000,10010273.000,0.222,0.607,0.778,0.393,0.375,0.357,3.933,0.643
99.000,10010276.000,0.429,0.000,0.429,1.333,0.538,0.283,2.000,0.717
100.000,10010277.000,0.000,0.400,1.000,0.600,0.400,0.333,1.333,0.667
101.000,10010278.000,0.000,0.800,1.000,0.200,0.500,0.488,1.667,0.537
102.000,10010279.000,0.417,0.500,0.667,0.500,0.324,0.245,1.389,0.755
103.000,10010280.000,0.000,1.000,1.000,0.000,0.200,0.185,3.000,0.815
104.000,10010281.000,0.357,0.222,0.643,0.667,0.560,0.455,0.632,0.545
105.000,10010282.000,0.000,100000.000,0.000,100000.000,0.100,0.182,3.000,0.818
106.000,10010283.000,0.286,0.316,0.679,0.632,0.315,0.601,2.296,0.399
107.000,10010284.000,0.167,0.727,0.917,0.182,0.500,0.329,0.857,0.671
108.000,10010285.000,0.182,0.556,0.818,0.444,0.579,0.279,0.615,0.735
109.000,10010286.000,0.182,0.900,0.909,0.000,0.367,0.353,1.462,0.635
110.000,10010290.000,0.179,0.542,0.857,0.417,0.437,0.696,0.973,0.304
111.000,10010294.000,0.333,0.800,0.833,0.000,0.261,0.397,2.000,0.603
112.000,10010295.000,0.240,0.778,0.720,0.222,0.543,0.676,1.571,0.309
113.000,10010296.000,0.500,0.600,0.500,0.600,0.357,0.359,1.286,0.641
114.000,10010297.000,0.556,0.667,0.667,0.333,0.257,0.422,1.316,0.578
115.000,10010298.000,0.238,0.824,0.810,0.176,0.600,0.479,1.000,0.507
116.000,10010299.000,0.333,0.812,0.667,0.250,0.522,0.474,0.880,0.515
117.000,10010300.000,0.167,0.545,0.917,0.455,0.400,0.455,0.947,0.545
118.000,10010301.000,0.444,0.500,0.519,0.571,0.587,0.622,0.731,0.378
119.000,10010302.000,0.111,0.706,0.944,0.353,0.419,0.500,1.316,0.488
120.000,10010303.000,0.167,0.786,0.778,0.286,0.581,0.574,2.000,0.426
121.000,10010304.000,0.100,0.474,0.950,0.474,0.444,0.446,1.130,0.554
122.000,10010305.000,0.200,0.750,0.800,0.333,0.375,0.421,1.412,0.579
123.000,10010306.000,0.222,0.571,0.778,0.357,0.391,0.447,1.933,0.553
124.000,10010307.000,0.000,0.444,0.900,0.556,0.476,0.292,2.750,0.694
125.000,10010308.000,0.250,1.111,0.750,0.000,0.300,0.625,1.474,0.359
126.000,10010309.000,0.250,0.762,0.750,0.190,0.384,0.537,1.955,0.463
127.000,10010310.000,0.000,1.000,0.667,0.000,0.107,0.315,2.778,0.674
128.000,10010334.000,0.183,0.255,0.817,0.740,0.503,0.755,1.197,0.247
129.000,10010337.000,0.200,0.519,0.771,0.519,0.402,0.478,1.559,0.516
130.000,10010338.000,0.227,0.312,0.727,0.687,0.431,0.515,1.250,0.485
131.000,10010339.000,0.000,0.222,0.900,0.778,0.526,0.271,4.000,0.743
132.000,10010340.000,0.643,0.500,0.286,0.750,0.437,0.333,1.308,0.667
133.000,10010341.000,0.182,0.889,0.818,0.222,0.611,0.281,0.875,0.734
134.000,10010342.000,0.615,0.750,0.308,0.500,0.481,0.303,0.933,0.697
135.000,10010343.000,0.000,0.000,1.000,1.000,0.333,0.246,1.667,0.754
136.000,10010344.000,0.463,0.833,0.556,0.133,0.500,0.584,1.862,0.411
137.000,10010345.000,0.400,0.526,0.633,0.474,0.638,0.290,1.308,0.710
138.000,10010346.000,0.500,0.000,0.750,1.000,0.182,0.275,2.571,0.712
139.000,10010348.000,0.129,0.259,0.871,0.704,0.310,0.408,2.194,0.596
140.000,10010356.000,0.000,0.333,1.000,0.600,0.417,0.333,1.400,0.667
141.000,10010357.000,0.600,0.250,0.400,0.875,0.870,0.319,0.500,0.694
142.000,10010457.000,0.000,0.000,0.900,1.000,0.370,0.314,4.250,0.686
143.000,10010458.000,0.235,0.286,0.824,0.786,0.395,0.413,1.529,0.587
144.000,10010459.000,0.400,0.000,0.800,0.500,0.167,0.316,2.000,0.695
145.000,10010460.000,0.143,0.667,0.857,0.333,0.500,0.289,1.167,0.701
146.000,10010461.000,0.000,1.000,0.667,0.000,0.250,0.164,5.000,0.836
147.000,10010482.000,0.000,0.800,1.000,0.200,0.476,0.429,1.000,0.571
148.000,10010484.000,0.324,0.320,0.676,0.640,0.457,0.500,1.128,0.506
149.000,10010485.000,0.000,0.875,1.000,0.125,0.471,0.354,1.214,0.646
150.000,10010486.000,0.244,0.514,0.778,0.429,0.562,0.349,0.895,0.651
151.000,10010488.000,0.154,0.400,0.769,0.700,0.333,0.382,3.250,0.627
152.000,10010489.000,0.400,0.286,0.700,0.714,0.476,0.304,1.571,0.696
153.000,10010490.000,0.500,0.500,0.500,0.000,0.348,0.343,1.875,0.672
154.000,10010491.000,0.000,0.296,1.000,0.704,0.270,0.508,2.387,0.492
155.000,10010492.000,0.000,0.375,1.143,0.625,0.171,0.363,3.778,0.628
156.000,10010493.000,0.400,0.500,0.800,0.500,0.167,0.417,2.600,0.583
157.000,10010494.000,0.000,0.500,1.200,0.333,0.263,0.260,6.500,0.740
158.000,10010495.000,0.429,0.000,0.571,1.000,0.269,0.382,1.462,0.618
159.000,10010496.000,0.000,0.375,1.000,0.500,0.800,0.118,0.500,0.882
160.000,10010497.000,0.000,0.000,1.125,0.889,0.727,0.125,0.600,0.875
161.000,10010498.000,0.000,0.000,1.000,1.100,0.833,0.121,0.400,0.879
162.000,10010499.000,0.000,0.833,0.857,0.333,0.778,0.237,100000.000,0.763
163.000,10010500.000,0.000,0.125,1.067,0.812,0.833,0.145,0.154,0.863
164.000,10010501.000,0.000,0.667,1.000,0.667,0.500,0.088,200000.000,0.912
165.000,10010502.000,0.000,0.667,1.200,0.000,0.500,0.161,2.000,0.839
166.000,10010503.000,0.000,0.000,0.833,0.800,0.857,0.156,1.000,0.822
167.000,10010504.000,0.000,0.400,1.000,0.600,1.000,0.123,0.000,0.864
168.000,10010505.000,0.000,0.000,1.000,0.889,0.818,0.090,100000.000,0.910
169.000,10010506.000,0.000,0.000,1.000,0.889,0.692,0.146,0.444,0.843
170.000,10010507.000,0.000,0.600,1.000,0.400,0.500,0.357,1.500,0.643
171.000,10010508.000,0.000,0.158,1.000,0.842,0.704,0.307,400000.000,0.693
172.000,10010509.000,0.000,0.364,1.000,0.545,0.733,0.170,0.444,0.830
173.000,10010510.000,0.000,0.000,1.000,0.800,0.294,0.283,1.375,0.717
174.000,10010511.000,0.200,0.375,0.800,0.625,0.556,0.237,1.600,0.776
175.000,10010512.000,0.000,0.273,0.917,0.727,0.667,0.168,1.750,0.841
176.000,10010513.000,0.000,0.000,1.000,0.778,0.409,0.301,650000.000,0.712
177.000,10010514.000,0.000,0.200,0.833,0.900,0.462,0.333,1.167,0.667
178.000,10010515.000,0.000,0.118,1.000,0.882,0.500,0.301,1.000,0.699
179.000,10010516.000,0.000,0.583,1.000,0.500,0.632,0.260,0.636,0.740
180.000,10010517.000,0.000,0.286,1.077,0.643,0.684,0.161,0.667,0.847
181.000,10010518.000,0.000,0.333,1.000,0.611,0.581,0.301,1.273,0.699
182.000,10010519.000,0.000,0.133,0.937,0.933,0.800,0.233,0.556,0.767
183.000,10010520.000,0.000,0.412,1.062,0.588,0.842,0.358,0.250,0.642
184.000,10010521.000,0.000,0.437,1.000,0.562,0.762,0.244,0.833,0.756
185.000,10010522.000,0.000,0.667,1.000,0.667,0.333,0.103,3.500,0.897
186.000,10010523.000,0.000,0.444,1.000,0.444,0.500,0.198,2.250,0.802
187.000,10010524.000,0.000,0.778,1.000,0.333,0.474,0.250,4.500,0.750
188.000,10010525.000,0.000,0.667,1.200,0.333,0.417,0.146,2.500,0.866
189.000,10010526.000,0.000,0.286,0.875,0.857,0.615,0.203,300000.000,0.781
190.000,10010527.000,0.000,0.333,1.000,1.000,1.000,0.066,0.000,0.934
191.000,10010528.000,NA,NA,NA,NA,NA,NA,NA,NA
192.000,10010529.000,0.333,0.200,0.667,0.800,0.789,0.229,0.400,0.771
193.000,10010530.000,0.000,0.227,1.000,0.773,0.786,0.406,1.500,0.594
194.000,10010531.000,0.000,1.000,1.000,0.000,0.333,0.087,250000.000,0.913
195.000,10010532.000,0.000,0.333,1.000,0.667,1.000,0.130,0.000,0.870
196.000,10010533.000,0.000,0.500,1.091,0.417,0.687,0.200,0.833,0.800
197.000,10010534.000,0.000,0.583,0.923,0.333,1.083,0.141,0.000,0.847
198.000,10010535.000,0.000,0.214,1.000,0.786,0.519,0.218,2.000,0.782
199.000,10010536.000,0.000,0.125,1.043,0.875,0.719,0.281,0.727,0.728
200.000,10010537.000,0.000,0.000,1.000,1.000,0.575,0.286,2.125,0.714
201.000,10010538.000,0.000,0.500,1.143,0.500,0.437,0.172,2.000,0.839
202.000,10010539.000,0.154,0.417,0.923,0.583,0.542,0.258,2.500,0.742
203.000,10010540.000,0.098,0.222,0.878,0.778,0.695,0.360,1.636,0.646
204.000,10010541.000,0.000,0.000,1.000,1.000,0.526,0.200,1.600,0.811
205.000,10010542.000,0.000,0.556,1.000,0.444,0.562,0.158,0.800,0.832
206.000,10010543.000,0.000,0.187,0.941,0.812,0.607,0.267,1.375,0.733
207.000,10010544.000,0.000,0.333,0.900,0.722,0.714,0.259,2.250,0.750
208.000,10010545.000,NA,NA,NA,NA,NA,NA,NA,NA
209.000,10010546.000,0.000,0.294,1.062,0.647,0.593,0.262,0.833,0.748
210.000,10010547.000,0.000,0.417,1.000,0.556,0.800,0.292,0.714,0.708
211.000,10010548.000,0.000,0.235,1.000,0.765,0.680,0.258,0.889,0.742
212.000,10010549.000,0.059,0.333,0.971,0.636,0.872,0.269,0.455,0.731
213.000,10010550.000,0.273,0.000,0.727,1.000,1.000,0.147,0.000,0.853
214.000,10010551.000,0.000,0.091,1.000,0.955,0.846,0.351,1.000,0.649
215.000,10010552.000,0.000,0.000,1.000,0.900,0.588,0.262,1.000,0.738
216.000,10010553.000,0.000,0.500,1.000,0.667,0.500,0.187,1.000,0.812
217.000,10010554.000,0.000,0.750,1.000,0.250,0.800,0.153,0.600,0.847
218.000,10010555.000,0.000,0.200,1.000,0.700,0.769,0.159,1.500,0.841
219.000,10010556.000,0.000,1.000,1.000,0.000,0.500,0.080,1.000,0.940
220.000,10010557.000,0.000,0.222,1.125,0.667,0.615,0.224,0.571,0.776
221.000,10010558.000,0.000,0.000,1.000,0.750,0.500,0.098,1.250,0.902
222.000,10010559.000,0.000,0.000,1.000,0.800,0.833,0.087,0.000,0.928
223.000,10010560.000,0.176,0.286,0.824,0.786,0.773,0.154,0.263,0.846
224.000,10010561.000,0.000,0.000,0.750,1.000,0.444,0.237,2.750,0.763
225.000,10010562.000,0.000,0.161,0.969,0.839,0.667,0.407,0.800,0.593
226.000,10010563.000,0.000,0.000,1.000,1.000,0.615,0.155,0.625,0.845
227.000,10010564.000,0.000,0.214,1.000,0.714,0.778,0.176,0.333,0.833
228.000,10010565.000,0.143,0.357,1.000,0.571,0.824,0.200,0.143,0.812
229.000,10010566.000,0.000,0.600,1.000,0.400,0.577,0.217,3.333,0.792
230.000,10010567.000,0.000,0.000,1.032,0.937,0.705,0.407,0.923,0.593
231.000,10010568.000,0.000,0.125,1.000,0.812,0.500,0.299,1.778,0.701
232.000,10010569.000,0.000,0.524,0.955,0.524,0.667,0.375,2.000,0.625
233.000,10010570.000,0.000,0.538,1.000,0.462,0.553,0.416,0.677,0.584
234.000,10010571.000,0.000,0.455,1.100,0.364,0.500,0.225,1.571,0.775
235.000,10010572.000,0.024,0.159,0.976,0.829,0.583,0.603,1.356,0.402
236.000,10010573.000,0.000,0.302,1.024,0.698,0.618,0.316,0.893,0.688
237.000,10010574.000,0.000,0.300,1.000,0.700,0.357,0.341,9.000,0.659
238.000,10010575.000,0.000,0.182,0.978,0.841,0.584,0.277,1.524,0.719
239.000,10010576.000,0.000,0.441,1.000,0.559,0.618,0.407,1.538,0.593
240.000,10010577.000,0.000,0.357,1.000,0.714,0.483,0.319,1.500,0.692
241.000,10010578.000,0.000,0.385,1.000,0.615,0.394,0.320,2.857,0.680
242.000,10010579.000,0.000,0.437,0.941,0.562,0.459,0.189,1.312,0.806
243.000,10010580.000,0.000,0.375,1.000,0.500,0.348,0.232,3.750,0.768
244.000,10010581.000,0.000,0.125,0.941,0.875,0.436,0.358,1.571,0.642
245.000,10010582.000,0.000,0.286,1.167,0.714,0.261,0.202,2.429,0.798
246.000,10010583.000,0.000,0.222,0.947,0.833,0.487,0.325,1.538,0.683
247.000,10010584.000,0.000,0.222,1.000,0.778,0.474,0.197,1.000,0.798
248.000,10010585.000,0.000,0.000,1.000,0.875,0.364,0.214,1.750,0.786
249.000,10010586.000,0.000,0.500,1.000,0.500,0.387,0.292,1.125,0.708
250.000,10010587.000,0.250,0.286,0.875,0.571,0.571,0.269,1.400,0.712
251.000,10010588.000,0.000,0.300,0.833,0.800,0.462,0.210,0.684,0.798
252.000,10010589.000,0.105,0.400,0.921,0.600,0.514,0.335,2.769,0.665
253.000,10010590.000,0.077,0.375,0.923,0.542,0.591,0.367,1.000,0.633
254.000,10010591.000,0.000,0.533,0.937,0.533,0.552,0.228,1.750,0.772
255.000,10010592.000,0.000,0.125,1.067,0.937,0.429,0.333,1.583,0.676
256.000,10010593.000,0.130,0.211,0.826,0.789,0.590,0.368,1.062,0.623
257.000,10010594.000,0.000,0.500,1.000,0.500,0.471,0.198,4.000,0.814
258.000,10010595.000,0.000,0.000,1.000,1.053,0.704,0.325,1.143,0.675
259.000,10010596.000,0.000,0.583,1.000,0.417,0.522,0.232,1.429,0.768
260.000,10010597.000,0.200,0.750,0.800,0.375,0.909,0.118,0.000,0.892
261.000,10010598.000,0.000,0.167,1.000,0.833,0.581,0.263,3.250,0.746
262.000,10010599.000,0.000,0.409,0.957,0.545,0.719,0.241,0.750,0.767
263.000,10010600.000,0.000,0.174,1.000,0.826,0.500,0.383,4.600,0.617
264.000,10010601.000,0.000,0.273,1.000,0.727,0.458,0.300,1.857,0.700
265.000,10010602.000,0.070,0.325,0.930,0.675,0.623,0.335,1.130,0.660
266.000,10010603.000,0.000,0.385,1.000,0.615,0.317,0.398,2.071,0.583
267.000,10010604.000,0.000,0.000,1.000,0.667,0.167,0.186,2.333,0.804
268.000,10010605.000,0.000,0.182,1.000,0.818,0.458,0.276,4.333,0.724
269.000,10010606.000,0.029,0.246,0.978,0.754,0.578,0.478,1.623,0.524
270.000,10010607.000,0.000,0.180,0.984,0.836,0.602,0.488,1.464,0.507
271.000,10010608.000,0.019,0.216,0.990,0.775,0.536,0.481,1.725,0.519
272.000,10010609.000,0.000,0.277,0.959,0.745,0.495,0.553,1.594,0.447
273.000,10010610.000,0.000,0.074,1.000,0.926,0.574,0.490,1.429,0.510
274.000,10010611.000,0.000,0.000,0.000,0.000,0.000,0.105,150000.000,0.895
275.000,10010614.000,0.000,0.187,1.000,0.750,0.667,0.324,1.400,0.689
276.000,10010615.000,0.000,0.098,1.000,0.902,0.603,0.338,2.154,0.657
277.000,10010616.000,0.000,0.000,0.875,1.143,0.308,0.356,1.385,0.630
278.000,10010617.000,0.073,0.108,0.927,0.892,0.502,0.418,1.703,0.582
279.000,10010618.000,0.000,0.318,1.000,0.727,0.579,0.319,1.600,0.681
280.000,10010619.000,0.316,0.250,0.632,0.750,0.704,0.273,0.900,0.717
281.000,10010620.000,0.071,0.079,0.905,0.921,0.592,0.617,2.417,0.383
282.000,10010621.000,0.091,0.267,0.909,0.733,0.589,0.560,1.353,0.440
283.000,10010622.000,0.000,0.300,1.000,0.800,0.256,0.355,3.625,0.645
284.000,10010623.000,0.000,0.222,1.000,0.778,0.474,0.322,1.727,0.678
285.000,10010624.000,0.000,0.154,1.083,0.846,0.571,0.256,1.125,0.744
286.000,10010625.000,0.000,0.000,1.100,0.909,0.417,0.316,2.333,0.684
287.000,10010626.000,0.182,0.000,0.818,0.889,0.458,0.289,1.300,0.711
288.000,10010627.000,0.000,0.545,1.000,0.545,0.367,0.345,1.800,0.655
289.000,10010628.000,0.000,0.000,1.000,1.000,0.667,0.150,0.833,0.850
290.000,10010629.000,0.091,0.409,1.000,0.591,0.333,0.306,1.720,0.690
291.000,10010630.000,0.000,0.000,1.000,1.000,0.583,0.167,1.000,0.833
292.000,10010631.000,0.250,0.000,1.000,0.875,0.500,0.421,1.333,0.526
293.000,10010632.000,0.000,0.278,1.059,0.722,0.472,0.225,1.187,0.775
294.000,10010633.000,0.000,0.667,0.923,0.417,0.342,0.288,2.273,0.720
295.000,10010634.000,0.000,0.412,0.944,0.647,0.383,0.281,2.231,0.719
296.000,10010635.000,0.000,0.300,1.000,0.700,0.476,0.304,1.833,0.710
297.000,10010636.000,0.150,0.353,0.850,0.647,0.500,0.274,1.053,0.726
298.000,10010637.000,0.167,0.143,0.778,1.000,0.391,0.351,2.333,0.649
299.000,10010638.000,0.000,0.500,1.000,0.375,0.800,0.118,1.500,0.882
300.000,10010639.000,0.143,0.154,0.929,0.769,0.467,0.417,8.500,0.583
301.000,10010640.000,0.000,0.000,0.875,1.000,0.500,0.239,1.800,0.746
302.000,10010641.000,0.000,0.444,1.125,0.556,0.500,0.250,2.000,0.766
303.000,10010642.000,0.000,0.000,0.800,1.000,0.208,0.242,1.900,0.768
304.000,10010643.000,0.080,0.000,0.960,0.958,0.658,0.373,0.765,0.618
305.000,10010644.000,0.047,0.286,0.977,0.714,0.336,0.574,2.966,0.426
306.000,10010645.000,0.286,0.000,0.857,0.833,0.368,0.237,4.000,0.762
307.000,10010646.000,0.211,0.312,0.842,0.625,0.576,0.264,1.000,0.736
308.000,10010647.000,0.000,0.167,1.000,0.833,0.632,0.247,1.167,0.753
309.000,10010648.000,0.000,0.000,1.000,1.000,0.273,0.180,1.167,0.852
310.000,10010649.000,0.000,0.250,1.143,0.625,0.636,0.196,1.000,0.821
311.000,10010650.000,0.000,0.286,1.000,0.571,0.778,0.123,0.333,0.877
312.000,10010651.000,0.102,0.151,0.898,0.849,0.522,0.481,1.102,0.519
313.000,10010652.000,0.136,0.150,0.909,0.850,0.478,0.517,1.786,0.483
314.000,10010653.000,0.094,0.179,0.875,0.857,0.525,0.418,1.115,0.575
315.000,10010654.000,0.000,0.333,1.000,0.667,0.706,0.160,0.833,0.840
316.000,10010655.000,0.000,0.200,1.111,0.800,0.643,0.250,1.250,0.768
317.000,10010656.000,0.000,0.000,1.000,1.000,0.520,0.179,2.333,0.814
318.000,10010657.000,0.000,0.000,1.000,1.000,0.526,0.253,3.333,0.747
319.000,10010658.000,0.000,0.375,0.800,0.625,0.455,0.324,1.091,0.691
320.000,10010659.000,0.000,0.000,0.900,1.000,0.435,0.348,650000.000,0.667
321.000,10010660.000,0.000,0.000,1.000,1.000,0.571,0.206,1.000,0.824
322.000,10010661.000,0.294,0.231,0.765,0.692,0.288,0.250,1.708,0.750
323.000,10010662.000,0.000,0.286,1.000,0.857,0.467,0.208,1.600,0.792
324.000,10010663.000,0.000,0.667,1.125,0.000,0.889,0.145,1.000,0.871
325.000,10010664.000,0.000,0.000,0.000,0.000,0.000,0.068,0.750,0.932
326.000,10010666.000,0.000,0.000,1.000,1.000,0.100,0.256,2.600,0.735
327.000,10010667.000,0.000,0.100,1.000,0.833,0.566,0.477,4.000,0.523
328.000,10010668.000,0.000,0.000,0.000,0.000,0.222,0.078,0.727,0.913
329.000,10010669.000,0.000,0.429,1.000,0.714,0.233,0.236,5.750,0.764
330.000,10010670.000,0.000,0.500,1.000,0.500,0.250,0.211,2.000,0.798
331.000,10010671.000,0.000,0.320,1.000,0.680,0.301,0.480,3.353,0.526
