,geoUID,r_external_5yr,r_inter_5yr,r_internal_5yr,r_intra_5yr,r_migrants_5yr,r_movers_5yr,r_nonMigrants_5yr,r_nonMovers_5yr
9169.000,24550056.000,0.000,0.000,1.000,1.000,0.724,0.264,1.143,0.736
9170.000,24550057.000,0.000,0.000,0.944,1.000,1.000,0.205,0.000,0.784
9171.000,24550058.000,0.000,0.000,1.000,1.000,0.758,0.295,0.500,0.705
9172.000,24550059.000,0.000,0.000,1.000,1.000,0.722,0.364,0.818,0.636
9173.000,24550060.000,0.000,0.000,1.000,0.917,0.706,0.212,0.600,0.787
9174.000,24550061.000,0.000,0.000,1.000,1.000,0.514,0.372,1.591,0.628
9175.000,24550062.000,0.000,0.000,1.000,1.062,0.800,0.247,0.571,0.753
9176.000,24550063.000,0.054,0.000,0.946,1.000,0.740,0.407,0.560,0.593
9177.000,24550064.000,0.000,0.000,0.941,1.062,0.680,0.200,0.571,0.800
9178.000,24550065.000,0.000,0.000,0.944,1.000,0.529,0.395,1.500,0.593
9179.000,24550066.000,0.111,0.118,0.944,0.941,0.562,0.364,0.933,0.636
9180.000,24550067.000,0.000,0.000,1.000,1.000,0.457,0.289,1.583,0.719
9181.000,24550068.000,0.000,0.000,1.000,1.000,0.278,0.184,2.000,0.827
9182.000,24550069.000,0.000,0.000,1.045,1.000,0.667,0.429,0.692,0.584
9183.000,24550070.000,0.011,0.000,0.989,1.000,0.757,0.560,1.170,0.437
9184.000,24550071.000,0.000,0.000,0.968,1.000,0.585,0.465,1.375,0.535
9185.000,24550072.000,0.167,0.000,0.792,1.053,0.774,0.274,0.583,0.726
9186.000,24550073.000,0.160,0.000,0.840,1.000,0.510,0.327,1.500,0.680
9187.000,24550074.000,0.000,0.000,1.000,1.000,0.667,0.360,1.391,0.640
9188.000,24550075.000,0.069,0.000,0.897,1.000,0.806,0.286,1.600,0.706
9189.000,24550076.000,0.000,0.000,0.958,1.043,0.706,0.243,0.526,0.750
9190.000,24550077.000,0.000,0.000,1.000,0.964,0.903,0.282,0.250,0.709
9191.000,24550078.000,0.125,0.000,0.937,1.000,0.615,0.299,0.556,0.713
9192.000,24550079.000,0.034,0.035,0.983,0.965,0.744,0.569,1.053,0.423
9193.000,24550080.000,0.000,0.083,0.960,0.958,0.714,0.276,1.000,0.724
9194.000,24550081.000,0.000,0.000,1.083,1.000,0.316,0.396,2.167,0.594
9195.000,24550082.000,0.000,0.000,1.000,1.000,0.545,0.237,1.571,0.763
9196.000,24550083.000,0.048,0.000,0.952,1.000,0.667,0.333,0.778,0.661
9197.000,24550084.000,0.000,0.000,1.000,1.000,0.818,0.282,1.000,0.718
9198.000,24550085.000,0.000,0.000,1.033,1.000,0.698,0.214,0.800,0.786
9199.000,24550086.000,0.056,0.000,0.944,0.971,0.818,0.247,0.400,0.753
9200.000,24550087.000,0.000,0.000,1.000,0.968,0.912,0.227,0.267,0.773
9201.000,24550088.000,0.000,0.000,1.000,1.048,0.955,0.268,0.133,0.707
9202.000,2456.000,0.032,0.036,0.967,0.964,0.413,0.353,1.659,0.647
9203.000,24560128.000,0.000,0.000,0.800,1.250,0.455,0.143,3.500,0.857
9204.000,24560129.000,0.091,0.000,0.909,1.000,0.733,0.303,1.286,0.687
9205.000,24560130.000,0.143,0.000,0.929,1.000,0.933,0.205,0.000,0.795
9206.000,24560131.000,0.000,0.000,1.000,1.000,0.955,0.208,0.000,0.802
9207.000,24560132.000,0.000,0.000,1.143,1.000,0.437,0.208,1.333,0.792
9208.000,24560133.000,0.000,0.000,1.000,1.000,0.850,0.247,0.250,0.765
9209.000,24560134.000,0.160,0.000,0.840,1.000,0.781,0.291,0.778,0.709
9210.000,24560135.000,0.000,0.000,1.000,1.048,0.750,0.246,0.600,0.754
9211.000,24560136.000,0.000,0.000,1.000,1.000,0.750,0.167,150000.000,0.833
9212.000,24560137.000,0.000,0.000,0.923,1.000,0.520,0.122,3.250,0.878
9213.000,24560138.000,0.000,0.000,0.941,1.000,0.531,0.395,1.000,0.605
9214.000,24560139.000,0.000,0.000,1.000,1.000,0.446,0.327,1.600,0.673
9215.000,24560140.000,0.000,0.000,1.333,0.750,0.120,0.243,2.200,0.748
9216.000,24560141.000,0.000,0.000,1.143,1.000,0.437,0.222,1.125,0.764
9217.000,24560142.000,0.000,0.158,1.000,0.842,0.514,0.289,2.571,0.703
9218.000,24560143.000,0.000,0.000,0.000,100000.000,0.167,0.164,3.333,0.849
9219.000,24560144.000,0.000,0.000,0.667,1.000,0.231,0.181,1.429,0.806
9220.000,24560145.000,0.000,0.000,0.000,0.000,0.105,0.229,1.636,0.771
9221.000,24560146.000,0.167,0.000,0.778,1.000,0.621,0.276,1.714,0.714
9222.000,24560147.000,0.061,0.065,0.939,0.968,0.458,0.336,1.219,0.664
9223.000,24560148.000,0.000,0.000,1.000,0.900,0.238,0.326,2.462,0.674
9224.000,24560149.000,0.000,0.000,0.667,1.500,0.176,0.200,2.500,0.800
9225.000,24560150.000,0.000,0.000,1.083,0.923,0.522,0.264,2.000,0.736
9226.000,24560151.000,0.000,0.143,0.933,0.857,0.536,0.424,1.300,0.591
9227.000,24560152.000,0.000,0.000,1.000,0.889,0.290,0.403,1.692,0.597
9228.000,24560153.000,0.000,0.000,1.000,0.667,0.187,0.222,2.000,0.792
9229.000,24560154.000,0.000,0.000,1.500,1.000,0.118,0.262,7.500,0.738
9230.000,24560155.000,0.000,0.000,1.000,1.000,0.435,0.258,7.000,0.753
9231.000,24560156.000,0.000,0.133,0.882,0.933,0.395,0.453,1.368,0.547
9232.000,24560157.000,0.000,0.000,0.917,1.091,0.255,0.540,1.944,0.460
9233.000,24560158.000,0.000,0.000,0.950,1.053,0.351,0.613,1.423,0.376
