"","X","geoUID","r_external_5yr","r_inter_5yr","r_internal_5yr","r_intra_5yr","r_migrants_5yr","r_movers_5yr","r_nonMigrants_5yr","r_nonMovers_5yr"
"28507",28507,35211670,0.571,0,0.393,0.909,0.8,0.34,0.389,0.66
"28508",28508,35211672,0.6,0,0.4,1,0.469,0.269,2,0.731
"28509",28509,35211673,0.7,0,0.3,1.111,0.638,0.412,2.833,0.588
"28510",28510,35211675,0.5,0,0.6,0.667,0.4,0.187,2.143,0.813
"28511",28511,35211676,0.682,0.286,0.318,0.714,0.444,0.379,1.929,0.625
"28512",28512,35211677,0.6,0,0.371,1,0.486,0.5,1.152,0.493
"28513",28513,35211678,0.577,0,0.385,1,0.448,0.414,3.2,0.593
"28514",28514,35211679,0.528,0,0.5,0.889,0.434,0.374,1.516,0.622
"28515",28515,35211680,0.4,0,0.533,1,0.349,0.413,3.375,0.587
"28516",28516,35211681,0.583,0.3,0.417,0.7,0.429,0.463,0.941,0.537
"28517",28517,35211682,0.692,0,0.269,0.857,0.565,0.426,0.645,0.583
"28518",28518,35211683,0.2,0,0.9,0.889,0.345,0.29,2.111,0.71
"28519",28519,35211684,0.4,0,0.533,1.125,0.366,0.39,5.4,0.61
"28520",28520,35211685,0.318,0,0.682,0.967,0.478,0.438,1.361,0.557
"28521",28521,35211686,0.682,0,0.318,0.857,0.564,0.382,1,0.618
"28522",28522,35211687,0.621,0,0.379,0.818,0.414,0.335,2.412,0.665
"28523",28523,35211691,0.278,0.154,0.722,0.846,0.643,0.158,3.333,0.836
"28524",28524,35211693,0.077,0.13,0.885,0.87,0.5,0.349,2.167,0.651
"28525",28525,35211695,0.281,0,0.719,1,0.712,0.36,0.852,0.64
"28526",28526,35211696,0.552,0,0.448,1.077,0.784,0.578,0.583,0.422
"28527",28527,35211697,0.298,0.05,0.702,0.95,0.528,0.458,1.282,0.538
"28528",28528,35211698,0.167,0,0.833,1,0.686,0.372,0.625,0.628
"28529",28529,35211699,0.389,0,0.667,0.833,0.391,0.362,1.4,0.638
"28530",28530,35211701,0.589,0.033,0.411,0.967,0.467,0.682,1.593,0.319
"28531",28531,35211702,0.545,0,0.424,1,0.446,0.322,1.952,0.678
"28532",28532,35211704,0.5,0,0.5,1,0.421,0.2,1.2,0.8
"28533",28533,35211705,0.484,0,0.548,1,0.456,0.325,1.094,0.675
"28534",28534,35211706,0.263,0.143,0.737,0.929,0.613,0.258,1.2,0.733
"28535",28535,35211707,0.25,0,0.75,1,0.444,0.162,1.111,0.838
"28536",28536,35211708,0.357,0,0.643,1,0.609,0.295,1.8,0.692
"28537",28537,35211711,0.712,0.2,0.288,0.8,0.703,0.323,1.437,0.677
"28538",28538,35211712,0.686,0,0.343,1,0.66,0.434,0.586,0.566
"28539",28539,35211713,0.634,0,0.341,0.929,0.594,0.359,0.966,0.641
"28540",28540,35211714,0.844,0.286,0.156,0.857,0.738,0.412,0.75,0.588
"28541",28541,35211715,0.615,0,0.359,1,0.65,0.38,0.913,0.62
"28542",28542,35211716,0.56,0.189,0.44,0.811,0.312,0.396,2.706,0.605
"28543",28543,35211718,0.477,0,0.5,1,0.473,0.392,1.065,0.608
"28544",28544,35211719,0.636,0,0.364,1,0.611,0.257,1.556,0.743
"28545",28545,35211720,0.8,0.6,0.25,0.6,0.476,0.333,1,0.667
"28546",28546,35211721,0.731,0.333,0.231,0.667,0.338,0.494,2.6,0.513
"28547",28547,35211722,0.455,0.667,0.545,0.333,0.234,0.402,1.8,0.598
"28548",28548,35211723,0.706,0.4,0.294,0.8,0.327,0.409,2.692,0.598
"28549",28549,35211724,0.577,0.182,0.423,0.818,0.441,0.333,1.684,0.667
"28550",28550,35211725,0.429,0,0.571,1.125,0.467,0.248,1.25,0.76
"28551",28551,35211726,0.556,0,0.444,0.917,0.37,0.424,4.6,0.57
"28552",28552,35211727,0.8,0,0.24,0.667,0.455,0.261,1.476,0.735
"28553",28553,35211728,0.7,0,0.4,0.75,0.4,0.253,5,0.747
"28554",28554,35211729,0,0,1,1,0.061,0.237,1500000,0.763
"28555",28555,35211730,0.4,0,0.667,0.9,0.366,0.299,8.667,0.708
"28556",28556,35211731,0.429,0,0.571,0.75,0.233,0.213,4,0.787
"28557",28557,35211732,0.333,0,0.667,0.875,0.353,0.186,1.467,0.814
"28558",28558,35211733,0.75,0,0.375,0,0.348,0.192,4.667,0.808
"28559",28559,35211734,0.436,0,0.545,1,0.478,0.376,2.103,0.624
"28560",28560,35211735,0.308,0.118,0.654,0.882,0.426,0.275,1.5,0.725
"28561",28561,35211737,0.778,0,0.222,1.5,0.375,0.205,1.143,0.786
"28562",28562,35211738,0.477,0.391,0.523,0.609,0.698,0.409,0.783,0.591
"28563",28563,35211739,0.556,0.625,0.444,0.375,0.367,0.336,2.214,0.671
"28564",28564,35211740,0,0,1,1,0.31,0.215,2.333,0.778
"28565",28565,35211741,0.4,0,0.6,1,0.385,0.203,0.889,0.789
"28566",28566,35211742,0.667,0,0.333,1,0.222,0.325,7.333,0.663
"28567",28567,35211743,0.292,0.176,0.708,0.824,0.5,0.212,1.25,0.783
"28568",28568,35211744,0.421,0,0.579,0.909,0.704,0.152,0.444,0.843
"28569",28569,35211745,0.667,0,0.333,1,0.6,0.224,3.25,0.782
"28570",28570,35211746,0.923,0,0.154,1,0.419,0.252,3,0.748
"28571",28571,35211747,0.889,0,0.222,1,0.321,0.241,2.375,0.759
"28572",28572,35211748,0.476,0,0.524,1,0.532,0.336,1.37,0.664
"28573",28573,35211749,0.333,0.231,0.722,0.769,0.346,0.331,3.889,0.669
"28574",28574,35211750,0.76,0.571,0.28,0.286,0.521,0.293,0.815,0.713
"28575",28575,35211751,0.667,0,0.267,1,0.5,0.189,1.364,0.811
"28576",28576,35211754,0.75,0,0.25,1.167,0.338,0.351,1.714,0.649
"28577",28577,35211755,0.368,0,0.684,0.923,0.452,0.359,11,0.65
"28578",28578,35211756,1,0,0,0,0.211,0.457,5.833,0.538
"28579",28579,35211757,0.88,0,0.08,1,0.49,0.477,1.182,0.523
"28580",28580,35211758,0.548,0.143,0.452,0.929,0.62,0.318,1.2,0.682
"28581",28581,35211760,0.719,0.333,0.281,0.556,0.39,0.335,1.515,0.665
"28582",28582,35211761,0.875,0,0.25,0,0.276,0.284,1.75,0.725
"28583",28583,35211762,0.317,0.027,0.679,0.966,0.296,0.813,3.355,0.187
"28584",28584,35211763,0.647,0.167,0.353,0.917,0.479,0.436,4.111,0.564
"28585",28585,35211764,0.667,0,0.333,1,0.522,0.338,1.05,0.662
"28586",28586,35211765,0.591,0,0.455,0.9,0.333,0.355,2.444,0.645
"28587",28587,35211766,0.5,0,0.5,0.857,0.389,0.313,2.444,0.678
"28588",28588,35211767,0.526,0.286,0.368,0.857,0.432,0.299,1.733,0.701
"28589",28589,35211768,0.45,0,0.55,1,0.5,0.351,1.312,0.64
"28590",28590,35211769,0.306,0.039,0.704,0.947,0.295,0.697,2.168,0.305
